Country,ISO2,ISO3,Indicator,Series,Variable,Model,Scenarios,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,2020,2025,2030,2035,2040,2045,2050
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Bioenergy with CCS,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),Mt CO2/yr,,,,,0.0,0.0,0.1029,0.2777,0.5858,1.4114,3.0498
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Bioenergy with CCS,REMIND-MAgPIE,Below 2°C,Mt CO2/yr,,,,,0.0,0.0,0.0,0.0153,0.1868,0.9128,1.8259
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Bioenergy with CCS,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),Mt CO2/yr,,,,,0.0,0.0,0.0,0.0104,0.3499,1.4728,2.7825
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Bioenergy with CCS,REMIND-MAgPIE,Low Demand,Mt CO2/yr,,,,,0.0,0.0,0.1172,0.8282,2.4513,4.3097,6.7939
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Bioenergy with CCS,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),Mt CO2/yr,,,,,0.0,0.0,0.0,0.0202,0.0058,0.0051,0.0049
Nepal,NP,NPL,Transition Pathways,Emissions and CCS,Bioenergy with CCS,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),Mt CO2/yr,,,,,0.0,0.0247,0.3338,1.2887,3.7266,7.6366,10.2679
Nepal,NP,NPL,Transition Pathways,Primary energy,Biomass,GCAM,Below 2°C,EJ/yr,,,,,0.5022,0.4747,0.4256,0.3681,0.2942,0.1864,0.118
Nepal,NP,NPL,Transition Pathways,Primary energy,Biomass,GCAM,Current Policies (Hot house world scenario),EJ/yr,,,,,0.5041,0.4876,0.4641,0.4305,0.3961,0.336,0.2929
Nepal,NP,NPL,Transition Pathways,Primary energy,Biomass,GCAM,Delayed Transition (Disorderly scenario),EJ/yr,,,,,0.5054,0.4896,0.4664,0.3994,0.3137,0.2136,0.1409
Nepal,NP,NPL,Transition Pathways,Primary energy,Biomass,GCAM,Fragmented World,EJ/yr,,,,,0.5068,0.4918,0.472,0.4155,0.3416,0.2666,0.2085
